item,time_slot,quantity,timestamp,day_of_week,peak_hour,is_prebooking,prebooking_date,prebooking_time
vada,18,1,1774938528,2,1,0,,
vada,22,1,1774939518,2,0,0,,
idli,9,3,1774937351,2,1,0,,
dosa,9,2,1774938472,2,1,0,,
vada,18,2,1774851476,1,0,1,2026-03-30,01:17:56
vada,17,3,1774850401,1,1,0,,
idli,23,3,1774767579,0,0,0,,
idli,8,1,1774937788,2,1,0,,
poori,22,3,1774765147,0,0,0,,
poori,12,2,1775111313,4,1,0,,
vada,17,2,1774938015,2,1,1,2026-03-31,02:20:15
dosa,8,1,1774850589,1,0,0,,
vada,16,3,1775284619,6,0,0,,
vada,18,1,1774939582,2,1,1,2026-03-31,03:46:22
vada,18,3,1774938781,2,1,1,2026-03-31,05:33:01
dosa,14,2,1775109844,4,0,1,2026-04-02,01:04:04
dosa,20,3,1775111759,4,1,1,2026-04-02,02:35:59
dosa,10,3,1774764669,0,0,0,,
idli,8,2,1775285426,6,1,0,,
dosa,19,2,1774850534,1,1,0,,
idli,8,2,1775284360,6,1,0,,
poori,12,2,1774764077,0,1,1,2026-03-29,02:01:17
vada,18,3,1775198455,5,1,0,,
dosa,20,2,1775196896,5,1,1,2026-04-03,01:14:56
dosa,8,3,1775023933,3,1,0,,
poori,12,2,1775024813,3,1,1,2026-04-01,01:26:53
vada,17,2,1774853403,1,1,1,2026-03-30,03:50:03
vada,11,1,1775113102,4,0,0,,
dosa,8,1,1774764615,0,1,0,,
poori,13,2,1774852240,1,1,1,2026-03-30,05:30:40
vada,18,2,1775023340,3,1,0,,
vada,10,1,1775196315,5,1,0,,
vada,10,1,1774766381,0,1,0,,
vada,20,3,1774937223,2,0,0,,
vada,17,2,1774940340,2,1,0,,
vada,18,1,1775198782,5,1,0,,
poori,14,1,1775026152,3,1,0,,
idli,8,1,1774936997,2,1,0,,
dosa,8,1,1775025667,3,1,0,,
idli,10,3,1775197871,5,1,0,,
dosa,13,1,1775026128,3,0,1,2026-04-01,05:48:48
idli,9,2,1774940325,2,1,0,,
poori,14,1,1775282556,6,1,1,2026-04-04,05:02:36
idli,8,1,1775197915,5,1,0,,
idli,8,3,1774939538,2,1,0,,
poori,12,2,1775112090,4,0,1,2026-04-02,02:41:30
idli,10,1,1775199238,5,1,0,,
vada,10,1,1775282756,6,1,0,,
vada,11,1,1774940150,2,1,0,,
dosa,8,1,1775283383,6,1,0,,
vada,11,1,1774765191,0,1,0,,
vada,16,1,1775196199,5,0,1,2026-04-03,01:03:19
poori,13,2,1775112348,4,1,1,2026-04-02,04:45:48
poori,12,2,1775026088,3,1,1,2026-04-01,05:48:08
vada,17,1,1774766386,0,1,1,2026-03-29,05:39:46
poori,13,3,1775026619,3,1,1,2026-04-01,02:56:59
poori,14,1,1774764926,0,1,1,2026-03-29,02:15:26
vada,10,1,1774851237,1,1,0,,
idli,10,1,1774850897,1,1,0,,
poori,13,1,1774765312,0,1,1,2026-03-29,04:21:52
dosa,8,1,1775025064,3,1,0,,
idli,8,1,1775026335,3,1,0,,
dosa,9,3,1775284619,6,1,0,,
poori,13,1,1775284534,6,1,1,2026-04-04,04:35:34
dosa,10,1,1774764353,0,0,0,,
vada,18,2,1774851821,1,1,1,2026-03-30,03:23:41
vada,10,1,1775199385,5,1,0,,
vada,10,1,1775024650,3,1,0,,
idli,10,3,1775198698,5,1,0,,
poori,14,2,1774766589,0,1,0,,
idli,11,2,1775284341,6,0,0,,
poori,13,1,1775026000,3,1,0,,
dosa,8,1,1775026585,3,1,0,,
vada,10,3,1775111804,4,1,0,,
vada,11,1,1775196875,5,1,0,,
vada,17,1,1774938767,2,1,1,2026-03-31,05:32:47
idli,8,2,1775197717,5,1,0,,
dosa,20,3,1774764364,0,1,1,2026-03-29,03:06:04
vada,13,1,1775025274,3,0,0,,
vada,11,2,1775284691,6,1,0,,
vada,8,3,1774938873,2,0,0,,
idli,20,2,1774850903,1,0,0,,
poori,15,3,1775112761,4,0,1,2026-04-02,03:52:41
idli,8,1,1775110476,4,1,0,,
idli,9,2,1774853794,1,1,0,,
idli,9,1,1775196277,5,0,0,,
vada,10,2,1774765275,0,0,0,,
vada,12,2,1774766305,0,0,1,2026-03-29,01:38:25
idli,10,1,1774937273,2,1,0,,
vada,18,1,1774937672,2,1,0,,
poori,13,1,1775285112,6,1,0,,
vada,17,1,1774767459,0,1,1,2026-03-29,03:57:39
vada,21,2,1775197491,5,0,1,2026-04-03,04:24:51
idli,10,1,1774764314,0,1,0,,
vada,17,3,1774850598,1,1,0,,
poori,13,1,1775197922,5,1,1,2026-04-03,01:32:02
vada,9,1,1775283421,6,0,0,,
poori,14,1,1775111286,4,1,1,2026-04-02,02:28:06
idli,9,3,1774939200,2,1,0,,
poori,12,1,1775112800,4,0,0,,
dosa,8,1,1775024002,3,1,0,,
dosa,9,1,1774851472,1,1,0,,
poori,14,1,1774939170,2,1,0,,
dosa,19,1,1774852849,1,1,1,2026-03-30,03:40:49
vada,11,1,1774851182,1,1,0,,
poori,14,1,1774765218,0,1,0,,
poori,17,2,1775198552,5,0,1,2026-04-03,05:42:32
vada,10,1,1774767446,0,1,0,,
dosa,19,2,1774938686,2,1,0,,
vada,17,1,1774767386,0,1,1,2026-03-29,03:56:26
dosa,8,2,1774938676,2,1,0,,
poori,13,1,1775199198,5,1,0,,
poori,14,2,1775111478,4,1,1,2026-04-02,03:31:18
vada,17,1,1775282535,6,1,1,2026-04-04,03:02:15
idli,8,1,1775198817,5,1,0,,
dosa,19,3,1775284003,6,1,1,2026-04-04,04:26:43
idli,10,1,1774767445,0,1,0,,
dosa,8,3,1774767458,0,1,0,,
idli,8,2,1775109880,4,1,0,,
idli,10,1,1774767226,0,1,0,,
dosa,12,1,1774940348,2,0,0,,
idli,23,1,1775282901,6,0,0,,
dosa,8,1,1775196587,5,1,0,,
vada,11,1,1774939866,2,1,0,,
poori,12,2,1775197829,5,1,1,2026-04-03,02:30:29
idli,9,1,1774853930,1,1,0,,
vada,17,1,1775026457,3,1,1,2026-04-01,01:54:17
vada,18,3,1775285919,6,1,0,,
idli,8,2,1775284888,6,1,0,,
dosa,8,1,1775024837,3,1,0,,
poori,11,2,1774852280,1,0,0,,
idli,9,2,1775283332,6,0,0,,
dosa,9,1,1775025696,3,1,0,,
idli,9,1,1774764273,0,1,0,,
poori,12,1,1775023921,3,0,0,,
idli,8,1,1775196134,5,0,0,,
poori,11,1,1775283480,6,0,0,,
dosa,20,1,1774853954,1,1,1,2026-03-30,03:59:14
dosa,19,1,1774853783,1,1,1,2026-03-30,03:56:23
idli,8,1,1774939773,2,1,0,,
poori,13,3,1775198252,5,1,0,,
dosa,20,1,1775284182,6,1,1,2026-04-04,04:29:42
vada,11,1,1774939556,2,1,0,,
vada,12,1,1775284083,6,0,0,,
idli,10,1,1775283923,6,1,0,,
dosa,20,2,1775025750,3,1,1,2026-04-01,04:42:30
dosa,8,1,1774939396,2,1,0,,
poori,12,1,1774852385,1,0,1,2026-03-30,03:33:05
idli,10,1,1775282888,6,0,0,,
idli,9,2,1775199223,5,1,0,,
idli,17,1,1775196878,5,0,0,,
poori,14,1,1774850461,1,1,1,2026-03-30,02:01:01
dosa,10,1,1775110042,4,0,0,,
poori,12,1,1775111049,4,0,0,,
dosa,19,1,1774937165,2,1,0,,
vada,18,2,1774853485,1,1,1,2026-03-30,03:51:25
vada,21,1,1775282877,6,0,0,,
vada,17,1,1775109850,4,1,0,,
idli,8,1,1775197169,5,1,0,,
vada,11,2,1775112438,4,1,0,,
vada,17,1,1775024099,3,1,0,,
dosa,19,1,1774764962,0,1,1,2026-03-29,03:16:02
poori,12,1,1775026502,3,1,1,2026-04-01,05:55:02
idli,9,1,1774938039,2,1,0,,
vada,11,1,1774850442,1,0,0,,
poori,20,1,1775198316,5,0,0,,
poori,13,2,1775024542,3,1,1,2026-04-01,04:22:22
vada,10,1,1775285032,6,1,0,,
idli,16,3,1775024662,3,0,0,,
poori,12,1,1774852819,1,1,0,,
dosa,23,3,1774938106,2,0,1,2026-03-31,03:21:46
poori,12,1,1775198267,5,1,0,,
idli,8,3,1774939357,2,0,0,,
poori,12,2,1774852173,1,1,0,,
idli,23,3,1775025224,3,0,0,,
dosa,20,3,1774850527,1,1,1,2026-03-30,03:02:07
vada,11,2,1774939141,2,1,0,,
vada,18,2,1774764941,0,1,0,,
vada,10,2,1775283460,6,1,0,,
poori,20,1,1774939865,2,0,1,2026-03-31,05:51:05
idli,20,2,1775112811,4,0,0,,
idli,8,2,1775198915,5,1,0,,
vada,18,2,1775285851,6,1,0,,
vada,17,1,1775198642,5,1,1,2026-04-03,05:44:02
dosa,18,1,1775198610,5,0,1,2026-04-03,01:43:30
dosa,8,2,1774764404,0,1,0,,
vada,11,1,1775197321,5,1,0,,
vada,9,3,1774938719,2,0,0,,
poori,13,1,1775283114,6,0,0,,
poori,12,1,1775023719,3,1,1,2026-04-01,03:08:39
vada,10,1,1775023353,3,1,0,,
idli,10,1,1775025771,3,1,0,,
dosa,20,2,1774765493,0,1,0,,
vada,10,1,1775110646,4,1,0,,
poori,13,2,1774851230,1,1,0,,
poori,21,3,1775197016,5,0,1,2026-04-03,04:16:56
vada,11,2,1775110262,4,1,0,,
vada,17,3,1775023403,3,1,0,,
poori,13,2,1775109779,4,1,0,,
idli,8,1,1775109877,4,1,0,,
idli,9,1,1775198286,5,1,0,,
idli,8,2,1774851776,1,1,0,,
vada,18,1,1774764205,0,0,1,2026-03-29,01:03:25
idli,10,2,1774937887,2,1,0,,
poori,14,1,1774764301,0,1,0,,
dosa,8,2,1774937023,2,1,0,,
poori,13,1,1774939704,2,1,1,2026-03-31,03:48:24
idli,16,1,1775196447,5,0,1,2026-04-03,05:07:27
dosa,23,1,1775024594,3,0,0,,
idli,20,1,1775112090,4,0,1,2026-04-02,04:41:30
vada,8,2,1774764772,0,0,0,,
poori,14,3,1775111851,4,1,1,2026-04-02,02:37:31
poori,12,1,1775026460,3,1,1,2026-04-01,02:54:20
poori,14,1,1775109714,4,1,1,2026-04-02,02:01:54
dosa,20,1,1774853350,1,1,1,2026-03-30,04:49:10
idli,9,2,1774853992,1,0,0,,
idli,9,3,1775025964,3,0,0,,
vada,10,1,1775024613,3,1,0,,
idli,9,1,1775112654,4,1,0,,
idli,15,1,1774937181,2,0,0,,
dosa,9,1,1775026414,3,1,0,,
poori,14,3,1774766205,0,1,0,,
poori,14,2,1775283891,6,1,1,2026-04-04,05:24:51
dosa,8,2,1775285541,6,1,0,,
vada,8,1,1775285959,6,0,0,,
poori,13,1,1774766566,0,1,0,,
poori,14,1,1775024819,3,0,1,2026-04-01,05:26:59
dosa,9,2,1775199500,5,1,0,,
idli,10,1,1775196325,5,1,0,,
idli,10,1,1775111537,4,1,0,,
poori,12,1,1774939720,2,1,1,2026-03-31,04:48:40
dosa,9,1,1775284608,6,1,0,,
vada,15,1,1774937129,2,0,1,2026-03-31,02:05:29
dosa,15,1,1774765447,0,0,0,,
poori,14,1,1775284509,6,1,1,2026-04-04,01:35:09
vada,12,3,1774767385,0,0,1,2026-03-29,04:56:25
dosa,8,1,1774853403,1,1,0,,
vada,11,1,1774852461,1,1,0,,
dosa,8,3,1774939544,2,0,0,,
poori,13,1,1775282749,6,1,0,,
dosa,8,2,1774851125,1,1,0,,
idli,16,2,1775196192,5,0,1,2026-04-03,05:03:12
dosa,8,1,1775023215,3,1,0,,
idli,8,1,1775197412,5,1,0,,
poori,14,1,1774767172,0,1,1,2026-03-29,05:52:52
dosa,9,3,1774851676,1,1,0,,
